INFO:root:nt(name='local', type='', dir=True, name_high_dir='632360')
INFO:root:nt(name='machine.config', type='.config', dir=False, name_high_dir='4.0')
INFO:root:nt(name='settings.map', type='.map', dir=False, name_high_dir='4.0')
INFO:root:nt(name='web.config', type='.config', dir=False, name_high_dir='4.0')
INFO:root:nt(name='4.0', type='.0', dir=True, name_high_dir='mono')
INFO:root:nt(name='Compat.browser', type='.browser', dir=False, name_high_dir='Browsers')
INFO:root:nt(name='Browsers', type='', dir=True, name_high_dir='4.5')
INFO:root:nt(name='DefaultWsdlHelpGenerator.aspx', type='.aspx', dir=False, name_high_dir='4.5')
INFO:root:nt(name='machine.config', type='.config', dir=False, name_high_dir='4.5')
INFO:root:nt(name='settings.map', type='.map', dir=False, name_high_dir='4.5')
INFO:root:nt(name='web.config', type='.config', dir=False, name_high_dir='4.5')
INFO:root:nt(name='4.5', type='.5', dir=True, name_high_dir='mono')
INFO:root:nt(name='browscap.ini', type='.ini', dir=False, name_high_dir='mono')
INFO:root:nt(name='config', type='', dir=False, name_high_dir='mono')
INFO:root:nt(name='config.xml', type='.xml', dir=False, name_high_dir='mconfig')
INFO:root:nt(name='mconfig', type='', dir=True, name_high_dir='mono')
INFO:root:nt(name='mono', type='', dir=True, name_high_dir='etc')
INFO:root:nt(name='etc', type='', dir=True, name_high_dir='MonoBleedingEdge')
INFO:root:nt(name='MonoBleedingEdge', type='', dir=True, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='ReadMe - Как играть по сети.url', type='.url', dir=False, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='Risk of Rain 2.exe', type='.exe', dir=False, name_high_dir='Risk of Rain 2')
INFO:root:nt(name='app.info', type='.info', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='boot.config', type='.config', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='config.cfg', type='.cfg', dir=False, name_high_dir='Config')
INFO:root:nt(name='server_startup.cfg', type='.cfg', dir=False, name_high_dir='Config')
INFO:root:nt(name='Config', type='', dir=True, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='globalgamemanagers', type='', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='globalgamemanagers.assets', type='.assets', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='level0', type='', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='level0.resS', type='.resS', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='OFL.txt', type='.txt', dir=False, name_high_dir='Licenses')
INFO:root:nt(name='Licenses', type='', dir=True, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='Assembly-CSharp.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='com.unity.multiplayer-hlapi.Runtime.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Decalicious.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='EOS.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Facepunch.Steamworks.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='GenericIK.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='HGCSharpUtils.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='HGSignup.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='HGUnityUtils.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='KinematicCharacterController.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='LegacyResourcesAPI.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='ModLoader.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Mono.Security.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='mscorlib.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='netstandard.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Newtonsoft.Json.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Rewired_Core.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Rewired_CSharp.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Rewired_Windows.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='RoR2.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='SimpleJSON.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.ComponentModel.Composition.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Configuration.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Core.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Data.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Diagnostics.StackTrace.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Drawing.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.EnterpriseServices.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Globalization.Extensions.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.IO.Compression.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.IO.Compression.FileSystem.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Net.Http.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Numerics.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Runtime.Serialization.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Runtime.Serialization.Xml.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.ServiceModel.Internals.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Transactions.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Xml.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Xml.Linq.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='System.Xml.XPath.XDocument.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.Addressables.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.Postprocessing.Runtime.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.ProBuilder.Csg.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.ProBuilder.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.ProBuilder.KdTree.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.ProBuilder.Poly2Tri.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.ProBuilder.Stl.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.RenderPipelines.Core.Runtime.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.RenderPipelines.Core.ShaderLibrary.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.ResourceManager.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.ScriptableBuildPipeline.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.TextMeshPro.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Unity.Timeline.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.AccessibilityModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.AIModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.AndroidJNIModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.AnimationModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ARModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.AssetBundleModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.AudioModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ClothModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ClusterInputModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ClusterRendererModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.CoreModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.CrashReportingModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.DirectorModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.DSPGraphModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.GameCenterModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.GridModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.HotReloadModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ImageConversionModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.IMGUIModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.InputLegacyModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.InputModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.JSONSerializeModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.LocalizationModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ParticleSystemModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.PerformanceReportingModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.Physics2DModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.PhysicsModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ProfilerModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.ScreenCaptureModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.SharedInternalsModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.SpatialTracking.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.SpriteMaskModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.SpriteShapeModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.StreamingModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.SubstanceModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.SubsystemsModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.TerrainModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.TerrainPhysicsModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.TextCoreModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.TextRenderingModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.TilemapModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.TLSModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UI.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UIElementsModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UIModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UmbraModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UNETModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityAnalyticsModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityConnectModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityTestProtocolModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityWebRequestAssetBundleModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityWebRequestAudioModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityWebRequestModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityWebRequestTextureModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.UnityWebRequestWWWModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.VehiclesModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.VFXModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.VideoModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.VRModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.WindModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.XR.LegacyInputHelpers.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='UnityEngine.XRModule.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Wwise.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Zio.dll', type='.dll', dir=False, name_high_dir='Managed')
INFO:root:nt(name='Managed', type='', dir=True, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='AkGuitarDistortion.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='AkHarmonizer.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='AkSoundEngine.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='AkWaapiClient.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='discord_game_sdk.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='EOSSDK-Win32-Shipping.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='EOSSDK-Win64-Shipping.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='Rewired_DirectInput.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='xaudio2_9redist.dll', type='.dll', dir=False, name_high_dir='x86_64')
INFO:root:nt(name='x86_64', type='', dir=True, name_high_dir='Plugins')
INFO:root:nt(name='Plugins', type='', dir=True, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='unity default resources', type='', dir=False, name_high_dir='Resources')
INFO:root:nt(name='unity_builtin_extra', type='', dir=False, name_high_dir='Resources')
INFO:root:nt(name='Resources', type='', dir=True, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='resources.assets', type='.assets', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='resources.assets.resS', type='.resS', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='012c55c7-dbea-45b9-8d7f-768fcfaa680e.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='020ce55a-da91-480e-af75-d2875500df42.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0258ebb4-571f-4e21-b50e-30b8f2fb27ad.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='04e92cbc-6162-4545-adac-8fac4eb79edc.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='06c0f2ff-2b89-41d5-99a4-b2409a28d511.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='090a27d4-2854-4128-91c6-cae5255a2381.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0911166d-d5dd-4017-b535-bd5902688867.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0a771ac0-abf4-442c-a96a-1e114469f84c.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0ac7a2a4-0a67-42e5-b1d0-65a33b7de2f6.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0b33336b-b496-4490-84b1-6f3bab5536aa.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0b3ff88f-2573-4935-97d1-8acef4962fd7.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0be6c60c-dbb8-47a0-a6a6-5cd109eda581.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0d7ceb63-b93f-47b4-a748-b9aa4f33ed17.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='0dc2b1b9-0602-4459-a197-79290857a91e.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='10e99f91-cbf1-4566-bb2a-febc989172d9.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='11ea1434-4514-4af8-91de-f9d6a5fad2f6.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='12464bfb-560f-42b3-b50c-66156f6a8262.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='14838ccc-4e4f-4245-a14f-7af6a392e6cc.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='149c2963-bb7f-4288-8c09-351d21acc3ea.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='1661e4bf-5c5d-45e8-9593-e1deefc898ea.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='16e9de59-5dfb-4e02-96b8-ec6a389a767b.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='1775a6d1-ae0d-4013-b8e5-fa875f21ef17.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='17c7633f-47f6-490c-a8fb-c87ccb192caf.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='1abdad02-a387-498e-9e1d-3745f2e89d8c.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='1ad4761e-5704-4d75-b57a-d927c890670c.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='1cab309c-c9ae-4270-baa4-e4341e202416.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='1e16cb2c-b8ae-4234-9475-3739b6c5a78b.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='200b30dd-5530-4846-a6f0-fcefa29a8ce9.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='210b6b83-506d-4d18-810a-89e982cbb3e8.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='2113f61c-5bbd-44f6-affc-948d6df3d11e.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='c1deaf77-e2fa-44ef-a32c-f7b57ae8f079.xml', type='.xml', dir=False, name_high_dir='History')
INFO:root:nt(name='History', type='', dir=True, name_high_dir='RunReports')
INFO:root:nt(name='RunReports', type='', dir=True, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='sharedassets0.assets', type='.assets', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='sharedassets0.assets.resS', type='.resS', dir=False, name_high_dir='Risk of Rain 2_Data')
INFO:root:nt(name='link.xml', type='.xml', dir=False, name_high_dir='AddressablesLink')
INFO:root:nt(name='AddressablesLink', type='', dir=True, name_high_dir='aa')
INFO:root:nt(name='catalog.json', type='.json', dir=False, name_high_dir='aa')
INFO:root:nt(name='settings.json', type='.json', dir=False, name_high_dir='aa')
INFO:root:nt(name='calmwater_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='calmwater_monoscripts.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='calmwater_shader_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='calmwater_unitybuiltinshaders.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='decalicious_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='decalicious_shader_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ngss_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ngss_shader_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ngss_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-achievements_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-adaptivearmor_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-alienhead_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-alienhead_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-altarskeleton_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-altarskeleton_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-arena_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-arena_nodegraph_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-arena_scenedef_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-arena_scenes_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-arena_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-armorplate_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-armorplate_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-armorreductiononhit_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-armorreductiononhit_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactcompounds_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactcompounds_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactkey_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactkey_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactshell_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactshell_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactworld_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactworld_nodegraph_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactworld_scenedef_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactworld_scenes_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-artifactworld_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-attackspeedoncrit_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-attackspeedoncrit_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-autocastequipment_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-autocastequipment_text_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
INFO:root:nt(name='ror2-base-bandit2_bin_assets_all.bundle', type='.bundle', dir=False, name_high_dir='StandaloneWindows64')
